waveform	方波	正弦
t0	1904/1/1  08:00:00.000000	1904/1/1  08:00:00.000000
delta t	0.001000	0.001000

time	方波	正弦
1904/1/1  08:00:00.039000	1.000000E+0	8.878475E-1
1904/1/1  08:00:00.040000	1.000000E+0	9.585218E-1
1904/1/1  08:00:00.041000	1.000000E+0	9.950139E-1
1904/1/1  08:00:00.042000	1.000000E+0	9.960224E-1
1904/1/1  08:00:00.043000	1.000000E+0	9.615115E-1
1904/1/1  08:00:00.044000	1.000000E+0	8.927117E-1
1904/1/1  08:00:00.045000	1.000000E+0	7.920766E-1
1904/1/1  08:00:00.046000	1.000000E+0	6.631950E-1
1904/1/1  08:00:00.047000	1.000000E+0	5.106630E-1
1904/1/1  08:00:00.048000	1.000000E+0	3.399200E-1
1904/1/1  08:00:00.049000	1.000000E+0	1.570550E-1
1904/1/1  08:00:00.050000	-1.000000E+0	-3.141076E-2
1904/1/1  08:00:00.051000	-1.000000E+0	-2.187564E-1
1904/1/1  08:00:00.052000	-1.000000E+0	-3.983009E-1
1904/1/1  08:00:00.053000	-1.000000E+0	-5.636414E-1
1904/1/1  08:00:00.054000	-1.000000E+0	-7.088817E-1
1904/1/1  08:00:00.055000	-1.000000E+0	-8.288423E-1
1904/1/1  08:00:00.056000	-1.000000E+0	-9.192453E-1
1904/1/1  08:00:00.057000	-1.000000E+0	-9.768668E-1
1904/1/1  08:00:00.058000	-1.000000E+0	-9.996518E-1
1904/1/1  08:00:00.059000	-1.000000E+0	-9.867879E-1
1904/1/1  08:00:00.060000	-1.000000E+0	-9.387339E-1
1904/1/1  08:00:00.061000	-1.000000E+0	-8.572033E-1
1904/1/1  08:00:00.062000	-1.000000E+0	-7.451036E-1
1904/1/1  08:00:00.063000	-1.000000E+0	-6.064326E-1
1904/1/1  08:00:00.064000	-1.000000E+0	-4.461353E-1
1904/1/1  08:00:00.065000	-1.000000E+0	-2.699283E-1
1904/1/1  08:00:00.066000	-1.000000E+0	-8.409525E-2
1904/1/1  08:00:00.067000	1.000000E+0	1.047368E-1
1904/1/1  08:00:00.068000	1.000000E+0	2.898337E-1
1904/1/1  08:00:00.069000	1.000000E+0	4.645948E-1
1904/1/1  08:00:00.070000	1.000000E+0	6.227878E-1
1904/1/1  08:00:00.071000	1.000000E+0	7.587713E-1
1904/1/1  08:00:00.072000	1.000000E+0	8.676961E-1
1904/1/1  08:00:00.073000	1.000000E+0	9.456776E-1
1904/1/1  08:00:00.074000	1.000000E+0	9.899349E-1
1904/1/1  08:00:00.075000	1.000000E+0	9.988899E-1
1904/1/1  08:00:00.076000	1.000000E+0	9.722231E-1
1904/1/1  08:00:00.077000	1.000000E+0	9.108854E-1
1904/1/1  08:00:00.078000	1.000000E+0	8.170644E-1
1904/1/1  08:00:00.079000	1.000000E+0	6.941058E-1
1904/1/1  08:00:00.080000	1.000000E+0	5.463943E-1
1904/1/1  08:00:00.081000	1.000000E+0	3.791978E-1
1904/1/1  08:00:00.082000	1.000000E+0	1.984785E-1
1904/1/1  08:00:00.083000	1.000000E+0	1.068121E-2
1904/1/1  08:00:00.084000	-1.000000E+0	-1.774970E-1
1904/1/1  08:00:00.085000	-1.000000E+0	-3.593454E-1
1904/1/1  08:00:00.086000	-1.000000E+0	-5.283791E-1
1904/1/1  08:00:00.087000	-1.000000E+0	-6.785700E-1
1904/1/1  08:00:00.088000	-1.000000E+0	-8.045622E-1
1904/1/1  08:00:00.089000	-1.000000E+0	-9.018627E-1
1904/1/1  08:00:00.090000	-1.000000E+0	-9.670015E-1
1904/1/1  08:00:00.091000	-1.000000E+0	-9.976557E-1
1904/1/1  08:00:00.092000	-1.000000E+0	-9.927322E-1
1904/1/1  08:00:00.093000	-1.000000E+0	-9.524064E-1
1904/1/1  08:00:00.094000	-1.000000E+0	-8.781166E-1
1904/1/1  08:00:00.095000	-1.000000E+0	-7.725120E-1
1904/1/1  08:00:00.096000	-1.000000E+0	-6.393585E-1
1904/1/1  08:00:00.097000	-1.000000E+0	-4.834046E-1
1904/1/1  08:00:00.098000	-1.000000E+0	-3.102119E-1
1904/1/1  08:00:00.099000	-1.000000E+0	-1.259566E-1
1904/1/1  08:00:00.100000	6.279052E-2	6.279052E-2
1904/1/1  08:00:00.101000	2.492984E-1	2.492984E-1
1904/1/1  08:00:00.102000	4.269160E-1	4.269160E-1
1904/1/1  08:00:00.103000	5.893092E-1	5.893092E-1
1904/1/1  08:00:00.104000	7.306868E-1	7.306868E-1
1904/1/1  08:00:00.105000	8.460071E-1	8.460071E-1
1904/1/1  08:00:00.106000	9.311577E-1	9.311577E-1
1904/1/1  08:00:00.107000	9.831019E-1	9.831019E-1
1904/1/1  08:00:00.108000	9.999874E-1	9.999874E-1
1904/1/1  08:00:00.109000	9.812119E-1	9.812119E-1
1904/1/1  08:00:00.110000	9.274452E-1	9.274452E-1
1904/1/1  08:00:00.111000	8.406044E-1	8.406044E-1
1904/1/1  08:00:00.112000	7.237866E-1	7.237866E-1
1904/1/1  08:00:00.113000	5.811576E-1	5.811576E-1
1904/1/1  08:00:00.114000	4.178036E-1	4.178036E-1
1904/1/1  08:00:00.115000	2.395503E-1	2.395503E-1
1904/1/1  08:00:00.116000	5.275426E-2	5.275426E-2
1904/1/1  08:00:00.117000	-1.359231E-1	-1.359231E-1
1904/1/1  08:00:00.118000	-3.197532E-1	-3.197532E-1
1904/1/1  08:00:00.119000	-4.921805E-1	-4.921805E-1
1904/1/1  08:00:00.120000	-6.470560E-1	-6.470560E-1
1904/1/1  08:00:00.121000	-7.788565E-1	-7.788565E-1
1904/1/1  08:00:00.122000	-8.828820E-1	-8.828820E-1
1904/1/1  08:00:00.123000	-9.554228E-1	-9.554228E-1
1904/1/1  08:00:00.124000	-9.938918E-1	-9.938918E-1
1904/1/1  08:00:00.125000	-9.969173E-1	-9.969173E-1
1904/1/1  08:00:00.126000	-9.643914E-1	-9.643914E-1
1904/1/1  08:00:00.127000	-8.974740E-1	-8.974740E-1
1904/1/1  08:00:00.128000	-7.985515E-1	-7.985515E-1
1904/1/1  08:00:00.129000	-6.711515E-1	-6.711515E-1
1904/1/1  08:00:00.130000	-5.198173E-1	-5.198173E-1
1904/1/1  08:00:00.131000	-3.499458E-1	-3.499458E-1
1904/1/1  08:00:00.132000	-1.675947E-1	-1.675947E-1
1904/1/1  08:00:00.133000	2.073303E-2	2.073303E-2
1904/1/1  08:00:00.134000	2.083214E-1	2.083214E-1
1904/1/1  08:00:00.135000	3.884807E-1	3.884807E-1
1904/1/1  08:00:00.136000	5.547863E-1	5.547863E-1
1904/1/1  08:00:00.137000	7.013075E-1	7.013075E-1
1904/1/1  08:00:00.138000	8.228191E-1	8.228191E-1
1904/1/1  08:00:00.139000	9.149878E-1	9.149878E-1
1904/1/1  08:00:00.140000	9.745269E-1	9.745269E-1
1904/1/1  08:00:00.141000	9.993130E-1	9.993130E-1
1904/1/1  08:00:00.142000	9.884622E-1	9.884622E-1
1904/1/1  08:00:00.143000	9.423615E-1	9.423615E-1
1904/1/1  08:00:00.144000	8.626549E-1	8.626549E-1
1904/1/1  08:00:00.145000	7.521849E-1	7.521849E-1
1904/1/1  08:00:00.146000	6.148910E-1	6.148910E-1
1904/1/1  08:00:00.147000	4.556692E-1	4.556692E-1
1904/1/1  08:00:00.148000	2.801976E-1	2.801976E-1
1904/1/1  08:00:00.149000	9.473382E-2	9.473382E-2
1904/1/1  08:00:00.150000	-9.410831E-2	-9.410831E-2
1904/1/1  08:00:00.151000	-2.795944E-1	-2.795944E-1
1904/1/1  08:00:00.152000	-4.551098E-1	-4.551098E-1
1904/1/1  08:00:00.153000	-6.143954E-1	-6.143954E-1
1904/1/1  08:00:00.154000	-7.517708E-1	-7.517708E-1
1904/1/1  08:00:00.155000	-8.623370E-1	-8.623370E-1
1904/1/1  08:00:00.156000	-9.421511E-1	-9.421511E-1
1904/1/1  08:00:00.157000	-9.883668E-1	-9.883668E-1
1904/1/1  08:00:00.158000	-9.993360E-1	-9.993360E-1
1904/1/1  08:00:00.159000	-9.746676E-1	-9.746676E-1
1904/1/1  08:00:00.160000	-9.152412E-1	-9.152412E-1
1904/1/1  08:00:00.161000	-8.231760E-1	-8.231760E-1
1904/1/1  08:00:00.162000	-7.017553E-1	-7.017553E-1
1904/1/1  08:00:00.163000	-5.553090E-1	-5.553090E-1
1904/1/1  08:00:00.164000	-3.890596E-1	-3.890596E-1
1904/1/1  08:00:00.165000	-2.089359E-1	-2.089359E-1
1904/1/1  08:00:00.166000	-2.136121E-2	-2.136121E-2
1904/1/1  08:00:00.167000	1.669752E-1	1.669752E-1
1904/1/1  08:00:00.168000	3.493571E-1	3.493571E-1
1904/1/1  08:00:00.169000	5.192805E-1	5.192805E-1
1904/1/1  08:00:00.170000	6.706856E-1	6.706856E-1
1904/1/1  08:00:00.171000	7.981731E-1	7.981731E-1
1904/1/1  08:00:00.172000	8.971967E-1	8.971967E-1
1904/1/1  08:00:00.173000	9.642251E-1	9.642251E-1
1904/1/1  08:00:00.174000	9.968678E-1	9.968678E-1
1904/1/1  08:00:00.175000	9.939610E-1	9.939610E-1
1904/1/1  08:00:00.176000	9.556081E-1	9.556081E-1
1904/1/1  08:00:00.177000	8.831769E-1	8.831769E-1
1904/1/1  08:00:00.178000	7.792505E-1	7.792505E-1
1904/1/1  08:00:00.179000	6.475349E-1	6.475349E-1
1904/1/1  08:00:00.180000	4.927273E-1	4.927273E-1
1904/1/1  08:00:00.181000	3.203485E-1	3.203485E-1
1904/1/1  08:00:00.182000	1.365455E-1	1.365455E-1
1904/1/1  08:00:00.183000	-5.212680E-2	-5.212680E-2
1904/1/1  08:00:00.184000	-2.389402E-1	-2.389402E-1
1904/1/1  08:00:00.185000	-4.172327E-1	-4.172327E-1
1904/1/1  08:00:00.186000	-5.806461E-1	-5.806461E-1
1904/1/1  08:00:00.187000	-7.233529E-1	-7.233529E-1
1904/1/1  08:00:00.188000	-8.402639E-1	-8.402639E-1
1904/1/1  08:00:00.189000	-9.272100E-1	-9.272100E-1
1904/1/1  08:00:00.190000	-9.810905E-1	-9.810905E-1
1904/1/1  08:00:00.191000	-9.999840E-1	-9.999840E-1
1904/1/1  08:00:00.192000	-9.832167E-1	-9.832167E-1
1904/1/1  08:00:00.193000	-9.313866E-1	-9.313866E-1
1904/1/1  08:00:00.194000	-8.463419E-1	-8.463419E-1
1904/1/1  08:00:00.195000	-7.311156E-1	-7.311156E-1
1904/1/1  08:00:00.196000	-5.898167E-1	-5.898167E-1
1904/1/1  08:00:00.197000	-4.274841E-1	-4.274841E-1
1904/1/1  08:00:00.198000	-2.499068E-1	-2.499068E-1
1904/1/1  08:00:00.199000	-6.341759E-2	-6.341759E-2
